															
															
	Z	Ka	errKa	Kb	errKb	Ll	errLl	La	errLa	Lb	errLb	Lg	errLg	M	errM
Cr	24	5.37	0.02												
Mn	25	5.89	0.01												
Fe	26	6.34	0.01												
Co	27														
Cu	29	7.92	0.01												
Zn	30	8.59	0.01	9.53	0.01										
Se	34	11.2	0.01	12.47	0.02										
Zr	40	15.74	0.01	17.7	0.01										
Nb	41	16.58	0.03	18.61	0.02										
Mo	42	17.46	0.02	19.66	0.03										
Ru	44	19.24	0.01	21.64	0.01										
Pd	46	21.12	0.02									3.32	0.03		
Ag	47	22.12	0.02	24.97	0.02					3.22	0.02				
Sn	50	25.21	0.01					3.35	0.01	3.71	0.02				
W	74					7.41	0.02	8.34	0.01	9.67	0.01	11.28	0.02		
Pb	82					9.14	0.01	10.5	0.02	12.59	0.03	14.74	0.01	2.3	0.01
