Z_Ka,errZ_Ka,Ka,errKa,Z_Kb,errZ_Kb,Kb,errKb,Z_La,errZ_La,La,errLa,Z_Lb,errZ_Lb,Lb,errLb,Z_Lg,errZ_Lg,Lg,errLg,Z_Ll,errZ_Ll,Ll,errLl
24,0.1,5.37,0.02,25,0.1,6.44,0.01,50,0.1,3.35,0.01,47,0.1,3.22,0.02,46,0.1,3.32,0.03,74,0.1,7.41,0.02
25,0.1,5.89,0.01,26,0.1,6.97,0.02,74,0.1,8.34,0.01,50,0.1,3.71,0.02,74,0.1,11.28,0.02,82,0.1,9.14,0.01
26,0.1,6.34,0.01,27,0.1,7.71,0.01,82,0.1,10.5,0.02,74,0.1,9.67,0.01,82,0.1,14.74,0.01,93,0.1,11.844,0.009
27,0.1,6.85,0.01,28,0.1,8.182,0.005,93,0.1,13.923,0.005,82,0.1,12.59,0.03,,,,,,,,
28,0.1,7.409,0.003,29,0.1,8.75,0.01,,,,,93,0.1,17.748,0.006,,,,,,,,
29,0.1,7.92,0.01,30,0.1,9.53,0.01,,,,,,,,,,,,,,,,
30,0.1,8.59,0.01,34,0.1,12.47,0.02,,,,,,,,,,,,,,,,
34,0.1,11.2,0.01,40,0.1,17.7,0.01,,,,,,,,,,,,,,,,
40,0.1,15.74,0.01,41,0.1,18.61,0.02,,,,,,,,,,,,,,,,
41,0.1,16.58,0.03,42,0.1,19.66,0.03,,,,,,,,,,,,,,,,
42,0.1,17.46,0.02,44,0.1,21.64,0.01,,,,,,,,,,,,,,,,
44,0.1,19.24,0.01,47,0.1,24.948,0.008,,,,,,,,,,,,,,,,
46,0.1,21.12,0.02,,,,,,,,,,,,,,,,,,,,
47,0.1,22.115,0.004,,,,,,,,,,,,,,,,,,,,
50,0.1,25.21,0.01,,,,,,,,,,,,,,,,,,,,
51,0.1,26.343,0.07,,,,,,,,,,,,,,,,,,,,
