EKa1,errEKa1,ZKa1,Ka1,errKa1,ZKa2,EKa2,errEKa2,Ka2,errKa2,EKa3,errEKa3,ZKa3,Ka3,errKa3,EKa4,errEKa4,Zka4,Ka4,errKa4,EKa5,Ka5,ZKa5,errEKa5,errKa4,EKa6,errEKa6,ZKa6,Ka6,errKa6
5.405,0.020,24,2.325,0.023,24,5.42,0.020,2.328,0.023,22.13,0.08,47,4.704,0.188,6.9278,0.0048,27,2.63207,0.00632,22.15,4.706,47,0.003,0.00776,5.37,0.02,24,2.3173,0.0043
5.856,0.011,25,2.420,0.013,25,5.89,0.010,2.427,0.012,6.837,0.009,27,2.615,0.012,5.4047,0.098,24,2.32480,0.11392,15.74,3.967,40,0.011,0.02162,5.89,0.01,25,2.4269,0.0021
6.377,0.015,26,2.525,0.019,26,6.41,0.020,2.532,0.025,5.37,0.03,24,2.317,0.035,7.9669,0.0023,29,2.82257,0.00325,6.84,2.615,27,0.002,0.00301,6.34,0.01,26,2.5179,0.0020
6.910,0.006,27,2.629,0.008,27,6.94,0.014,2.634,0.018,6.32,0.01,26,2.514,0.013,6.4068,0.0057,26,2.53117,0.00721,5.32,2.306,24,0.004,0.00461,6.85,0.01,27,2.6173,0.0019
7.964,0.008,29,2.822,0.012,28,7.49,0.002,2.737,0.002,5.82,0.02,25,2.412,0.024,5.8784,0.0041,25,2.42454,0.00497,7.91,2.813,29,0.010,0.01336,7.409,0.003,28,2.7219,0.0006
8.646,0.010,30,2.940,0.015,29,7.99,0.010,2.827,0.014,17.45,0.02,42,4.177,0.042,17.5447,0.0918,42,4.18864,0.19226,6.32,2.513,26,0.001,0.00126,7.92,0.01,29,2.8142,0.0018
11.222,0.015,34,3.350,0.026,30,8.66,0.003,2.943,0.004,16.57,0.03,41,4.071,0.061,16.6396,0.0036,41,4.07917,0.00734,5.79,2.407,25,0.001,0.00144,8.59,0.01,30,2.9309,0.0017
15.791,0.012,40,3.974,0.023,34,11.24,0.010,3.353,0.017,21.01,0.03,46,4.584,0.069,15.8,0.11,40,3.97492,0.21862,17.45,4.178,42,0.002,0.00355,11.2,0.01,34,3.3466,0.0015
16.624,0.017,41,4.077,0.034,40,15.78,0.004,3.973,0.008,11.16,0.02,34,3.341,0.033,21.1834,0.0155,46,4.60254,0.03567,16.58,4.072,41,0.002,0.00468,15.74,0.01,40,3.9674,0.0013
17.504,0.013,42,4.184,0.026,41,16.62,0.020,4.077,0.041,8.59,0.01,30,2.931,0.015,19.301,0.0026,44,4.39329,0.00571,19.23,4.386,44,0.008,0.01798,16.58,0.03,41,4.0719,0.0037
19.298,0.007,44,4.393,0.016,42,17.50,0.010,4.183,0.021,15.7,0.01,40,3.962,0.020,11.2511,0.0034,34,3.35427,0.00570,11.17,3.342,34,0.008,0.01270,17.46,0.02,42,4.1785,0.0024
21.109,0.024,46,4.594,0.056,44,19.27,0.020,4.390,0.044,,,,,,25.2642,0.0049,50,5.02635,0.01231,25.19,5.019,50,0.001,0.00351,19.24,0.01,44,4.3863,0.0011
22.175,0.016,47,4.709,0.037,46,21.12,0.020,4.596,0.046,,,,,,8.6546,0.0016,30,2.94187,0.00235,8.55,2.925,30,0.002,0.00278,21.12,0.02,46,4.5957,0.0022
25.271,0.010,50,5.027,0.026,47,22.15,0.020,4.706,0.047,,,,,,5.4,0.01,24,2.32379,0.01162,21.20,4.605,46,0.003,0.00668,22.115,0.004,47,4.7027,0.0004
,,,,,50,25.16,0.020,5.016,0.050,,,,,,17.3916,0.0879,42,4.17032,0.18329,,,,,,25.21,0.01,50,5.0210,0.0010
,,,,,,,,,,,,,,,,,,,,,,,,,26.343,0.07,51,5.1325,0.0068
