EKb5,ZKb5,Kb5,errKb5,EKb2,ZKb2,Kb2,errKb2,EKb1,errEKb1,ZKb1,Kb1,errKb1,EKb3,errEKb3,ZKb3,Kb3,errKb3,EKb4,ZKb4,Kb4,errKb4,EKb6,errEKb6,ZKb6,Kb6,errKb6
6.9319,26,2.632850167,0.003,24.991,47,4.999099919,0.011,6.4760355,0.0147945,25,2.545,0.019,7.44,0.01,27,2.728,0.014,25.01,47,5.001,0.009,6.44,0.01,25,2.5377,0.0020
6.4304,25,2.535823338,0.0012,12.55,34,3.542597917,0.02,8.8081435,0.016963,29,2.968,0.025,6.99,0.01,26,2.644,0.013,7.4848,27,2.736,0.031,6.97,0.02,26,2.6401,0.0038
19.7074,42,4.439301747,0.0043,8.262,28,2.874369496,0.0045,9.583367,0.0132069,30,3.096,0.020,6.41,0.02,25,2.532,0.025,7.07,26,2.659,0.034,7.71,0.01,27,2.7767,0.0018
18.6364,41,4.316989692,0.0019,19.66,42,4.433959855,0.03,12.534578,0.0160427,34,3.540,0.028,18.63,0.05,41,4.316,0.108,6.48,25,2.545,0.036,8.182,0.005,28,2.8604,0.0009
21.6267,44,4.650451591,0.0026,8.83,29,2.971531592,0.01,17.7809693,0.0182092,40,4.217,0.038,21.53,0.04,44,4.640,0.093,18.70,41,4.325,0.013,8.75,0.01,29,2.9580,0.0017
12.4691,34,3.531161282,0.002,7.05,26,2.655183609,0.02,18.7192224,0.026108,41,4.327,0.056,12.46,0.03,34,3.530,0.053,17.75,40,4.213,0.013,9.53,0.01,30,3.0871,0.0016
25.2321,47,5.023156378,0.0047,6.46,25,2.541653005,0.02,19.701019,0.0278855,42,4.439,0.062,9.53,0.01,30,3.087,0.015,22.18,44,4.710,0.011,12.47,0.02,34,3.5313,0.0028
,,,,18.67,41,4.32087954,0.02,21.882467,0.0233714,44,4.678,0.055,,,,,,12.5535,34,3.543,0.019,17.7,0.01,40,4.2071,0.0012
,,,,9.62,30,3.101612484,0.01,25.0632691,0.019897,47,5.006,0.050,,,,,,9.6184,30,3.101,0.024,18.61,0.02,41,4.3139,0.0023
,,,,17.75,40,4.213074887,0.02,,,,,,,,,,,8.8229,29,2.970,0.026,19.66,0.03,42,4.4340,0.0034
,,,,21.65,44,4.65295605,0.02,,,,,,,,,,,,,,,21.64,0.01,44,4.6519,0.0011
,,,,,,,,,,,,,,,,,,,,,,24.948,0.008,47,4.9948,0.0008
